customerID,churn_probability,predicted_churn,actual_churn,split,Contract,PaymentMethod,InternetService,tenure,MonthlyCharges
6180-YBIQI,0.425839,1,0,train,Month-to-month,Mailed check,DSL,5,24.3
6728-DKUCO,0.128304,0,0,train,One year,Electronic check,Fiber optic,72,104.15
9750-BOOHV,0.064847,0,0,train,One year,Mailed check,DSL,32,30.15
8597-CWYHH,0.259918,1,0,train,One year,Mailed check,Fiber optic,43,94.35
2848-YXSMW,0.003349,0,0,train,Two year,Credit card (automatic),No,72,19.4
0486-HECZI,0.365418,1,1,test,Month-to-month,Electronic check,Fiber optic,55,96.75
4549-ZDQYY,0.026513,0,0,train,One year,Credit card (automatic),DSL,52,57.95
5712-AHQNN,0.352846,1,0,train,Month-to-month,Electronic check,Fiber optic,43,91.65
4846-WHAFZ,0.477758,1,1,test,Month-to-month,Electronic check,Fiber optic,37,76.5
5256-SKJGO,0.052937,0,0,train,Two year,Electronic check,DSL,64,54.6
3071-VBYPO,0.484992,1,0,train,Month-to-month,Electronic check,Fiber optic,3,89.85
9560-BBZXK,0.02036,0,0,train,Two year,Bank transfer (automatic),DSL,36,31.05
5299-RULOA,0.717616,1,1,train,Month-to-month,Electronic check,Fiber optic,10,100.25
8402-OOOHJ,0.009659,0,0,train,Two year,Mailed check,No,41,20.65
9445-ZUEQE,0.294833,1,0,train,Month-to-month,Credit card (automatic),Fiber optic,27,85.2
1091-SOZGA,0.251953,1,0,train,One year,Credit card (automatic),Fiber optic,56,99.8
2928-HLDBA,0.167458,0,0,train,Month-to-month,Mailed check,No,6,20.7
0404-SWRVG,0.785397,1,1,train,Month-to-month,Electronic check,Fiber optic,3,74.4
6497-TILVL,0.189947,0,0,test,Month-to-month,Mailed check,DSL,7,50.7
7219-TLZHO,0.161485,0,0,train,Month-to-month,Mailed check,No,4,20.85
4622-YNKIJ,0.09215,0,0,train,Two year,Electronic check,Fiber optic,33,88.95
4412-YLTKF,0.594596,1,1,test,Month-to-month,Electronic check,Fiber optic,27,78.05
6734-PSBAW,0.012093,0,0,train,Two year,Bank transfer (automatic),No,72,23.55
3930-ZGWVE,0.193152,0,0,test,Month-to-month,Mailed check,No,1,19.75
2639-UGMAZ,0.098514,0,0,train,One year,Electronic check,DSL,71,56.45
2876-GZYZC,0.695449,1,0,train,Month-to-month,Electronic check,Fiber optic,13,85.95
6207-WIOLX,0.278786,1,1,train,Month-to-month,Credit card (automatic),DSL,25,58.6
8587-XYZSF,0.010555,0,0,train,Two year,Bank transfer (automatic),DSL,67,50.55
3091-FYHKI,0.680937,1,1,train,Month-to-month,Electronic check,DSL,1,35.45
2372-HWUHI,0.416903,1,1,train,Month-to-month,Electronic check,DSL,2,44.35
7799-LGRDP,0.015197,0,0,train,Two year,Credit card (automatic),No,43,25.7
7850-VWJUU,0.259109,1,0,train,Month-to-month,Bank transfer (automatic),Fiber optic,23,75.0
3774-VBNXY,0.005293,0,0,train,Two year,Mailed check,No,64,20.2
6217-KDYWC,0.011802,0,0,train,Two year,Mailed check,No,57,19.6
0390-DCFDQ,0.701178,1,1,test,Month-to-month,Mailed check,Fiber optic,1,70.45
3146-MSEGF,0.018505,0,0,train,Two year,Credit card (automatic),DSL,72,88.05
4080-OGPJL,0.346327,1,1,train,Month-to-month,Electronic check,DSL,8,71.15
1095-WGNGG,0.114847,0,0,train,Two year,Bank transfer (automatic),Fiber optic,61,101.05
2636-SJDOU,0.085862,0,0,train,One year,Credit card (automatic),Fiber optic,64,84.3
1131-QQZEB,0.008835,0,0,train,Two year,Bank transfer (automatic),No,71,23.95
5716-EZXZN,0.034101,0,0,train,Two year,Credit card (automatic),Fiber optic,65,99.05
6837-BJYDQ,0.099379,0,0,train,One year,Mailed check,No,3,19.6
2135-RXIHG,0.503346,1,1,train,Month-to-month,Electronic check,DSL,1,45.65
6440-DKQGE,0.07219,0,0,train,One year,Credit card (automatic),DSL,30,64.5
3466-BYAVD,0.174019,0,0,train,Month-to-month,Mailed check,DSL,15,69.5
3780-YVMFA,0.467765,1,0,test,Month-to-month,Electronic check,DSL,8,68.55
3874-EQOEP,0.698269,1,1,train,Month-to-month,Mailed check,Fiber optic,7,95.0
1679-JRFBR,0.106921,0,0,train,One year,Credit card (automatic),Fiber optic,70,108.15
9073-ZZIAY,0.014794,0,0,test,Two year,Electronic check,DSL,62,86.1
3077-RSNTJ,0.138711,0,0,test,Month-to-month,Mailed check,No,6,19.7
6551-GNYDG,0.453211,1,0,train,Month-to-month,Bank transfer (automatic),Fiber optic,14,80.9
9167-APMXZ,0.506976,1,0,test,Month-to-month,Bank transfer (automatic),Fiber optic,22,84.15
2749-CTKAJ,0.029728,0,0,train,One year,Mailed check,No,22,20.15
6371-NZYEG,0.033951,0,0,train,Two year,Mailed check,DSL,16,64.25
7554-NEWDD,0.047121,0,0,train,Two year,Bank transfer (automatic),No,10,25.7
8992-VONJD,0.188882,0,0,train,Month-to-month,Electronic check,DSL,13,56.0
0867-MKZVY,0.36912,1,1,train,Month-to-month,Electronic check,Fiber optic,20,82.4
4482-EWFMI,0.695352,1,0,train,Month-to-month,Electronic check,Fiber optic,2,69.7
4648-YPBTM,0.041227,0,0,test,Two year,Bank transfer (automatic),DSL,53,73.9
2907-ILJBN,0.057925,0,0,test,One year,Mailed check,No,11,20.6
6345-FZOQH,0.00594,0,0,test,Two year,Mailed check,No,69,19.9
3376-BMGFE,0.613092,1,1,train,Month-to-month,Bank transfer (automatic),Fiber optic,4,70.9
5997-OPVFA,0.018589,0,0,train,Two year,Bank transfer (automatic),DSL,72,89.05
3445-HXXGF,0.293907,1,1,train,Month-to-month,Electronic check,DSL,58,45.3
1159-WFSGR,0.090304,0,0,train,Month-to-month,Electronic check,No,16,20.4
7654-YWJUF,0.071541,0,0,test,One year,Bank transfer (automatic),Fiber optic,43,84.25
1875-QIVME,0.874648,1,1,train,Month-to-month,Electronic check,Fiber optic,2,104.4
6727-IOTLZ,0.049386,0,0,train,Two year,Mailed check,DSL,14,81.95
0691-JVSYA,0.249765,1,1,train,One year,Bank transfer (automatic),Fiber optic,53,94.85
5918-VUKWP,0.02508,0,0,train,One year,Bank transfer (automatic),No,32,20.55
1744-JHKYS,0.099794,0,0,test,Month-to-month,Electronic check,No,34,24.7
2656-FMOKZ,0.541898,1,1,train,Month-to-month,Mailed check,Fiber optic,15,74.45
2070-FNEXE,0.426242,1,1,test,Month-to-month,Bank transfer (automatic),Fiber optic,7,76.45
5947-SGKCL,0.547949,1,0,train,Month-to-month,Bank transfer (automatic),Fiber optic,15,105.35
3712-PKXZA,0.01992,0,0,train,One year,Credit card (automatic),No,61,20.55
6317-YPKDH,0.407393,1,1,test,Month-to-month,Bank transfer (automatic),DSL,1,29.95
6582-OIVSP,0.352764,1,0,train,Month-to-month,Mailed check,DSL,1,45.3
9367-WXLCH,0.615563,1,1,train,Month-to-month,Bank transfer (automatic),Fiber optic,8,84.5
5524-KHNJP,0.058171,0,0,test,One year,Credit card (automatic),DSL,33,74.75
1918-ZBFQJ,0.467185,1,1,train,Month-to-month,Electronic check,Fiber optic,13,79.25
1024-GUALD,0.636677,1,1,test,Month-to-month,Electronic check,DSL,1,24.8
4827-USJHP,0.177492,0,0,train,Month-to-month,Mailed check,DSL,20,51.8
8167-GJLRN,0.454807,1,0,train,Month-to-month,Electronic check,DSL,3,30.4
0956-SYCWG,0.058968,0,0,train,One year,Electronic check,No,13,19.65
8017-UVSZU,0.10451,0,0,train,Month-to-month,Credit card (automatic),DSL,40,56.6
7100-FQPRV,0.043828,0,0,train,One year,Credit card (automatic),DSL,43,71.9
2472-OVKUP,0.693983,1,1,train,Month-to-month,Electronic check,Fiber optic,6,91.0
2984-RGEYA,0.004334,0,0,test,Two year,Bank transfer (automatic),No,69,19.75
9680-NIAUV,0.032369,0,0,train,Two year,Credit card (automatic),Fiber optic,72,109.7
2146-EGVDT,0.007378,0,0,train,Two year,Credit card (automatic),No,59,19.3
2604-IJPDU,0.323802,1,0,test,Month-to-month,Electronic check,Fiber optic,20,96.55
9178-JHUVJ,0.023544,0,0,train,Two year,Bank transfer (automatic),No,24,24.1
6168-YBYNP,0.418091,1,0,train,Month-to-month,Electronic check,Fiber optic,59,111.35
7255-SSFBC,0.050076,0,0,train,Two year,Bank transfer (automatic),Fiber optic,72,112.25
3645-DEYGF,0.144382,0,0,train,Month-to-month,Mailed check,No,1,20.75
9323-HGFWY,0.214695,0,0,train,One year,Credit card (automatic),Fiber optic,27,101.9
8544-GOQSH,0.284388,1,0,train,Month-to-month,Credit card (automatic),Fiber optic,14,80.05
3363-DTIVD,0.052582,0,0,train,Two year,Electronic check,Fiber optic,71,105.55
7018-WBJNK,0.464375,1,0,test,Month-to-month,Credit card (automatic),Fiber optic,13,78.3
9142-KZXOP,0.153768,0,0,train,Month-to-month,Credit card (automatic),Fiber optic,44,68.85
7674-YTAFD,0.100535,0,0,train,One year,Bank transfer (automatic),Fiber optic,33,79.95
6348-SNFUS,0.01165,0,0,train,Two year,Credit card (automatic),DSL,72,55.45
1285-OKIPP,0.738209,1,1,train,Month-to-month,Electronic check,Fiber optic,1,79.9
7825-ECJRF,0.394857,1,1,train,Month-to-month,Electronic check,Fiber optic,19,106.6
1347-KTTTA,0.121311,0,0,train,One year,Credit card (automatic),Fiber optic,64,102.45
7841-TZDMQ,0.363724,1,1,train,Month-to-month,Credit card (automatic),DSL,2,46.0
4195-NZGTA,0.548002,1,0,train,Month-to-month,Electronic check,DSL,1,25.25
7157-SMCFK,0.006524,0,0,test,Two year,Mailed check,No,61,19.75
4709-LKHYG,0.035676,0,0,test,One year,Electronic check,No,29,20.0
2504-DSHIH,0.5647,1,0,train,Month-to-month,Electronic check,Fiber optic,23,86.8
0699-NDKJM,0.211983,0,0,train,Month-to-month,Bank transfer (automatic),DSL,57,58.75
9286-BHDQG,0.006217,0,0,test,Two year,Credit card (automatic),DSL,72,45.25
0230-WEQUW,0.014186,0,0,train,Two year,Bank transfer (automatic),DSL,66,56.6
2040-LDIWQ,0.031262,0,0,train,Two year,Bank transfer (automatic),DSL,65,84.2
6496-JDSSB,0.656107,1,0,train,Month-to-month,Bank transfer (automatic),Fiber optic,8,80.0
9408-SSNVZ,0.717957,1,1,train,Month-to-month,Electronic check,Fiber optic,4,70.15
4443-EMBNA,0.006523,0,0,train,Two year,Bank transfer (automatic),No,71,24.75
6469-MRVET,0.162404,0,0,train,One year,Electronic check,No,1,20.2
0742-MOABM,0.265852,1,1,test,Month-to-month,Mailed check,DSL,4,50.05
5961-VUSRV,0.091823,0,0,train,One year,Bank transfer (automatic),No,12,19.35
6778-JFCMK,0.175928,0,0,train,One year,Mailed check,DSL,24,50.6
6341-JVQGF,0.064329,0,0,train,One year,Mailed check,DSL,31,81.15
2232-DMLXU,0.452189,1,1,train,Month-to-month,Mailed check,DSL,1,55.2
4811-JBUVU,0.417644,1,0,train,Month-to-month,Credit card (automatic),Fiber optic,30,89.9
0945-TSONX,0.024358,0,0,train,Two year,Credit card (automatic),DSL,47,85.3
2651-ZCBXV,0.088437,0,0,train,Two year,Credit card (automatic),Fiber optic,54,108.0
3316-UWXUY,0.209506,0,0,train,Month-to-month,Credit card (automatic),Fiber optic,50,93.5
8937-RDTHP,0.626219,1,1,train,Month-to-month,Mailed check,Fiber optic,1,84.6
7083-MIOPC,0.004694,0,0,train,Two year,Credit card (automatic),No,72,20.25
1984-GPTEH,0.121337,0,0,train,Month-to-month,Electronic check,No,29,25.15
1251-KRREG,0.497267,1,1,train,Month-to-month,Mailed check,DSL,2,54.4
0621-JFHOL,0.127088,0,0,train,Two year,Mailed check,DSL,10,29.6
9903-LYSAB,0.584931,1,0,train,Month-to-month,Electronic check,Fiber optic,18,73.15
0094-OIFMO,0.795062,1,1,train,Month-to-month,Electronic check,Fiber optic,11,95.0
9227-UAQFT,0.020611,0,0,train,Two year,Mailed check,No,16,19.75
7301-ABVAD,0.015934,0,0,train,Two year,Bank transfer (automatic),DSL,72,86.6
6614-FHDBO,0.035803,0,0,train,Two year,Bank transfer (automatic),Fiber optic,72,109.2
7576-ASEJU,0.043163,0,0,train,One year,Credit card (automatic),DSL,41,74.7
9058-HRZSV,0.183326,0,0,train,Month-to-month,Electronic check,Fiber optic,65,94.4
4522-AKYLR,0.303284,1,0,train,Month-to-month,Electronic check,DSL,13,54.8
0221-WMXNQ,0.579891,1,0,train,Month-to-month,Electronic check,Fiber optic,4,75.35
0303-UNCIP,0.106581,0,0,train,One year,Mailed check,DSL,41,65.0
9947-OTFQU,0.48782,1,1,train,Month-to-month,Electronic check,Fiber optic,15,74.4
0322-YINQP,0.35128,1,1,train,Month-to-month,Mailed check,DSL,1,48.55
0959-WHOKV,0.208032,0,0,test,One year,Electronic check,Fiber optic,42,99.0
4075-JFPGR,0.197454,0,0,test,One year,Electronic check,Fiber optic,51,93.5
4629-NRXKX,0.596161,1,1,train,Month-to-month,Electronic check,Fiber optic,2,70.4
9514-JDSKI,0.617542,1,1,train,Month-to-month,Electronic check,DSL,1,40.2
3282-ZISZV,0.072909,0,0,train,One year,Credit card (automatic),DSL,32,83.7
3675-YDUPJ,0.190023,0,0,train,Month-to-month,Mailed check,No,10,19.85
4111-BNXIF,0.049625,0,0,train,Two year,Electronic check,DSL,67,59.55
7017-VFHAY,0.038191,0,0,train,Two year,Credit card (automatic),Fiber optic,61,115.1
6655-LHBYW,0.13097,0,0,train,One year,Credit card (automatic),Fiber optic,50,114.35
4959-JOSRX,0.388985,1,1,train,Month-to-month,Credit card (automatic),DSL,2,44.6
5046-NUHWD,0.375532,1,0,train,Month-to-month,Electronic check,DSL,29,45.0
7273-TEFQD,0.709845,1,1,test,Month-to-month,Electronic check,DSL,3,41.15
3606-TWKGI,0.75109,1,1,train,Month-to-month,Electronic check,Fiber optic,13,106.9
7529-ZDFXI,0.483821,1,0,test,Month-to-month,Electronic check,Fiber optic,57,89.85
7605-BDWDC,0.04028,0,0,train,Two year,Bank transfer (automatic),DSL,31,49.85
1950-KSVVJ,0.080463,0,0,train,One year,Mailed check,Fiber optic,45,113.3
0123-CRBRT,0.017297,0,0,test,Two year,Mailed check,DSL,61,88.1
6292-TOSSS,0.016429,0,0,test,Two year,Bank transfer (automatic),No,50,24.9
3197-ARFOY,0.367698,1,0,test,Month-to-month,Mailed check,Fiber optic,19,105.0
6323-AYBRX,0.009041,0,1,train,Two year,Mailed check,No,59,19.35
7014-ZZXAW,0.010722,0,0,train,Two year,Credit card (automatic),No,71,24.25
4385-GZQXV,0.609847,1,1,train,Month-to-month,Electronic check,Fiber optic,16,94.45
7633-MVPUY,0.019375,0,0,train,Two year,Electronic check,DSL,57,59.75
6366-ZGQGL,0.452755,1,1,train,Month-to-month,Bank transfer (automatic),DSL,1,24.8
4716-HHKQH,0.563217,1,0,train,Month-to-month,Electronic check,Fiber optic,20,107.05
5940-AHUHD,0.576917,1,1,train,Month-to-month,Mailed check,Fiber optic,1,70.6
6432-TWQLB,0.650434,1,1,train,Month-to-month,Electronic check,Fiber optic,5,85.4
4484-GLZOU,0.512509,1,1,train,Month-to-month,Electronic check,Fiber optic,52,105.05
3179-GBRWV,0.175507,0,0,test,Month-to-month,Bank transfer (automatic),DSL,21,64.95
8645-KWHJO,0.467143,1,0,train,Month-to-month,Electronic check,DSL,14,55.0
4130-MZLCC,0.271214,1,0,train,Month-to-month,Bank transfer (automatic),DSL,5,50.55
0314-TKOSI,0.200434,0,0,train,Month-to-month,Mailed check,DSL,6,55.15
8229-MYEJZ,0.306255,1,0,train,Month-to-month,Electronic check,DSL,10,51.2
2080-SRCDE,0.230873,0,0,train,Month-to-month,Mailed check,No,1,25.4
9577-WJVCQ,0.06316,0,0,train,Month-to-month,Mailed check,DSL,68,54.45
9512-UIBFX,0.419808,1,1,test,Month-to-month,Mailed check,Fiber optic,18,95.15
6202-DYYFX,0.271806,1,0,train,One year,Credit card (automatic),Fiber optic,22,76.0
3808-HFKDE,0.246162,1,0,train,Month-to-month,Electronic check,DSL,20,44.35
5583-SXDAG,0.659533,1,1,train,Month-to-month,Electronic check,Fiber optic,1,70.0
3488-PGMQJ,0.667645,1,1,train,Month-to-month,Electronic check,Fiber optic,8,74.5
3580-REOAC,0.29764,1,1,train,Month-to-month,Credit card (automatic),DSL,10,44.85
7534-BFESC,0.539179,1,1,test,Month-to-month,Electronic check,Fiber optic,24,76.1
3727-OWVYD,0.03638,0,0,train,One year,Mailed check,DSL,35,61.2
2294-SALNE,0.090753,0,0,train,One year,Mailed check,Fiber optic,23,86.8
4847-TAJYI,0.798896,1,0,train,Month-to-month,Electronic check,Fiber optic,6,89.35
1563-IWQEX,0.127476,0,0,train,Month-to-month,Mailed check,No,12,19.7
8203-XJZRC,0.198279,0,0,train,Month-to-month,Mailed check,No,1,20.25
6556-DBKZF,0.033245,0,0,train,Two year,Electronic check,Fiber optic,71,76.05
6851-WEFYX,0.648442,1,0,train,Month-to-month,Electronic check,Fiber optic,35,100.8
2985-JUUBZ,0.300458,1,0,train,Month-to-month,Electronic check,DSL,40,74.55
6390-DSAZX,0.526007,1,1,train,Month-to-month,Mailed check,Fiber optic,1,73.6
0895-LMRSF,0.151426,0,0,test,One year,Bank transfer (automatic),DSL,23,64.9
8098-LLAZX,0.861861,1,1,train,Month-to-month,Electronic check,Fiber optic,4,95.45
8266-VBFQL,0.699508,1,0,test,Month-to-month,Electronic check,Fiber optic,4,90.4
8181-YHCMF,0.018503,0,0,test,Two year,Credit card (automatic),DSL,68,60.3
2240-HSJQD,0.249233,1,0,train,Month-to-month,Mailed check,Fiber optic,38,81.85
1248-DYXUB,0.015608,0,0,train,Two year,Mailed check,No,52,24.8
0265-EDXBD,0.531917,1,1,train,Month-to-month,Electronic check,Fiber optic,32,74.9
4115-BNPJY,0.037302,0,0,train,Two year,Mailed check,DSL,29,75.55
3167-SNQPL,0.484777,1,0,train,Month-to-month,Electronic check,Fiber optic,38,101.15
4091-TVOCN,0.085562,0,0,train,One year,Credit card (automatic),DSL,48,78.75
1098-TDVUQ,0.233054,0,0,train,Month-to-month,Bank transfer (automatic),No,1,19.25
7277-OZCGZ,0.340353,1,0,test,Month-to-month,Electronic check,Fiber optic,22,89.05
1557-EMYVT,0.052103,0,0,train,Two year,Credit card (automatic),Fiber optic,43,115.05
2799-ARNLO,0.743731,1,0,train,Month-to-month,Electronic check,Fiber optic,5,69.35
